Cat Island (South), Cat Island, Bahamas:21.988779602668703
Chestnut Branch Park, NJ, USA:18.526470998779402
Buehler Trust Observatory, NJ, USA:17.897920487269737
Blueberry Hill Observatory, NJ, USA:19.907337477427625
Belleplain State Forest, NJ, USA:20.535458327771806
Atlantic City, NJ, USA:16.88933343989642
Ash Observatory, NJ, USA:19.907337477427625
Amateur Astronomers Association of Princeton, NJ, USA:19.369785109996307
YFOS, NH, USA:19.6547833096138
Woodland Observatory, NH, USA:19.6547833096138
UNH Observatory, NH, USA:19.506912065507418
Tmakwa Observatory, NH, USA:19.6547833096138
Tidewater Farm Observatory, NH, USA:19.6547833096138
The Grainger Observatory, NH, USA:19.6547833096138
Swain Hill, NH, USA:21.845360480724917
Star Island, NH, USA:21.262853679305735
South Tamworth Observatory, NH, USA:21.76208935204337
Seminary Hill Observatory, NH, USA:19.6547833096138
Rye Harbor State Park, NH, USA:20.33485678346344
Rough Acre Observatory, NH, USA:19.6547833096138
Plymouth, WI, USA:19.089890453119914
Perkin Observatory, NH, USA:21.268827141049236
Northwood Ridge Observatory, NH, USA:20.93452638843288
Newfound Lake, NH, USA:21.5619324820796
Nebula Knoll Observatory, NH, USA:19.6547833096138
Nashua, NH, USA:18.412832155211873
Mount Washington Observatory, NH, USA:20.336211831754838
Meetinghouse Hill, NH, USA:20.765882177711223
Mark Ice Station, NH, USA:19.6547833096138
Manchester, NH, USA:18.114455057870693
MASIL Observatory East, NH, USA:19.6547833096138
Lenore and Walter Hawley Observatory, NH, USA:20.067108168013345
Laconia, NH, USA:19.593155754776188
Keene, NY, USA:21.51721027839422
Home of the Bird Paparazzi, NH, USA:19.6547833096138
Hill Top Observatory, NH, USA:19.6547833096138
Hawkins Pond Observatory, NH, USA:21.42162213212788
Hanover, NH, USA:19.906880582639374
Hampton Beach, NH, USA:19.513752440933857
Great Northern Moose Lodge, NH, USA:21.850510169075843
Great East Lake, NH, USA:21.560145999021938
Enif Observatory, NH, USA:19.6547833096138
Cors Observatory, NH, USA:19.6547833096138
Cornish, NH, USA:21.383478748042005
Conway, NH, USA:20.7862193723668
Brown's Observatory, NH, USA:19.6547833096138
Broken Tooth Rock Observatory, NH, USA:19.6547833096138
Brewster Academy, NH, USA:20.444333812058755
Brennan Hill Observatory, NH, USA:19.6547833096138
Bobservatory, NH, USA:19.6547833096138
Blue Sky Observatory, NH, USA:19.6547833096138
Bailyhill Observatory, NH, USA:19.6547833096138
Yerington, NV, USA:20.913834379532652
Winnemucca, NV, USA:19.9940261382259
Wild Horse Observatory, NV, USA:21.99479877638318
Whitney Pockets, NV, USA:21.81768744368507
Wellington, NV, USA:21.876719126942874
Washoe Zephyr Observatory, NV, USA:21.998469852637562
Virgo Skyline Observatory., NV, USA:21.998469852637562
Tonopah Stargazing Park, NV, USA:21.464764665121823
Tonopah, NV, USA:21.28095462635886
Stokes Castle, NV, USA:21.900464595931997
Sand Point, NV, USA:21.998469852637562
Ruhenstroth Observatory, NV, USA:21.200198205999715
Ruby Crest Observatory, NV, USA:21.998469852637562
Reno, NV, USA:18.18974127986541
Red Rock Canyon, NV, USA:19.287304282154416
Range Land, NV, USA:21.998469852637562
Rachel, NV, USA:21.98844469774505
Pinchot Creek, NV, USA:21.995452898826613
Pahrump Valley Observatory, NV, USA:19.426858680832673
Onion Valley Campground, NV, USA:21.998469852637562
Nelson's Landing, NV, USA:21.434002260497873
Mt Potosi Observatory, NV, USA:20.219640408694655
Monte Cristo's Castle, NV, USA:21.998469852637562
Moapa Valley, NV, USA:20.81468360883194
Massacre Rim, NV, USA:21.998469852637562
Maclean Observatory, NV, USA:21.998469852637562
Lund Observatory, NV, USA:21.82620872875057
Lunar Crater, NV, USA:21.99999999864131
Lovell Canyon, NV, USA:20.281721813900422
Lehman Caves Visitor Center, NV, USA:21.997080275339698
Las Vegas, NV, USA:16.530320825858606
Lake Mead (ASN-LV), NV, USA:17.110888736825206
Jack C. Davis Observatory, NV, USA:20.066462210157532
Indian Springs, NV, USA:20.40090939087296
High Desert Astronomy, NV, USA:21.998469852637562
Henderson, NV, USA:17.801264884540842
Hawthorne, NV, USA:20.83267888842806
Grimes Point, NV, USA:21.67939405139956
Great Basin National Park, NV, USA:21.99791494096834
Great Basin College, NV, USA:19.745526452968242
Gas Line Road, NV, USA:21.608653210179448
Gardnerville, NV, USA:20.40027885325513
Fleischmann Planetarium and Science Center, NV, USA:18.57222506507551
First Light Observatory, NV, USA:21.998469852637562
Echo Bay, NV, USA:21.560034717119358
Dun Glen, NV, USA:21.998469852637562
Deer Lodge Site, NV, USA:21.998469852637562
Copernicus Observatory, NV, USA:21.998469852637562
Cathedral Gorge, NV, USA:21.998469852637562
Black Rock Desert, NV, USA:21.994997731473713
Black Cliff, NV, USA:21.998391702180868
Bertucci's Sky, NV, USA:21.998469852637562
Berlin-Ichthyosaur State Park, NV, USA:21.995432018503667
Belmont, NV, USA:21.998469852637562
Amargosa Observatory, NV, USA:21.998469852637562
Alkali, NV, USA:21.99256496751268
Wildcat Hills Observatory, NE, USA:21.93786670924594
Western Nebraska Star Gaze, NE, USA:21.341637340995273
Weeping Water, NE, USA:20.420673297865306
Walnut Hill Observatory, NE, USA:17.33354093095119
Tryon, NE, USA:21.884535266696552
Thedford, NE, USA:21.630014850340242
The Rezervatory, NE, USA:21.93786670924594
Tamora, NE, USA:21.229423493191963
Summit Lake State Recreation Area, NE, USA:21.382274117843306
Starlight Ridge Observatory, NE, USA:21.93786670924594
Spotted-Tail Observatory, NE, USA:21.93786670924594
Scottsbluff, NE, USA:18.93835687575395
Prairie Golf Association, NE, USA:21.93786670924594
PAC Observatory, NE, USA:21.93786670924594
Omaha, NE, USA:17.062757317221152
Oakland/Lyons Observatory, NE, USA:20.624941855605712
Northwest Nebraska Star Party, NE, USA:21.93786670924594
North Platte, NE, USA:19.02244403274484
Norfolk(NE), NE, USA:18.48091329547171
Nebraska Star Party, NE, USA:21.99417221290457
Nebraska Nature and Visitor Center, NE, USA:21.93786670924594
Nebraska City, NE, USA:19.14270850390981
Mahoney State Park, NE, USA:20.283187713510923
Lowry Observatory, NE, USA:21.93786670924594
Loup Canal, NE, USA:21.06159876395728
Little Ranch Observatory, NE, USA:21.93786670924594
Lincoln, NE, USA:17.49176730701954
Lexington(NE), NE, USA:19.360810385044946
Kearney, NE, USA:18.57192749934861
Honey Creek Observatory, NE, USA:21.90951402760109
Hastings, NE, USA:18.94808917974754
Hansen Observatory, NE, USA:21.93786670924594
Grand Island KOA Journey, NE, USA:20.685447383746265
Grand Island, NE, USA:18.333367456756562
Gothenburg, NE, USA:20.191284564570985
Gilbert-Baker Campground, NE, USA:21.93786670924594
Fremont(NE), NE, USA:18.530376952508508
Fred G. Dale Planetarium, NE, USA:19.319004496310466
Dunning, NE, USA:21.829979745629895
Davis Creek Reservoir, NE, USA:21.850013333500115
Cordova, NE, USA:21.2851249404594
Clyde Sachtleben Observatory, NE, USA:20.770409998996175
Branched Oak Observatory, NE, USA:20.674736763758084
Boswell Observatory, NE, USA:19.368220702624054
Big Springs, NE, USA:21.06150693046103
Behlen Observatory, NE, USA:20.51534460834959
Beatrice High School, NE, USA:20.249995501640473
Auburn City Recreation Complex, NE, USA:20.001300648049458
Ashby, NE, USA:21.985477432590933
Arthur, NE, USA:21.796498307151506
Agate Fossil Beds National Monument, NE, USA:21.96219198820596
Wolf Point, MT, USA:20.026849436174476
Wilsall, MT, USA:21.87206772929847
Wapiticrossing Ranch, MT, USA:21.991190832857995
Valier, MT, USA:21.388441385854854
Taylor Fork, MT, USA:21.977592541103412
St. Mary Visitor Center, MT, USA:21.842063173686686
Southwest Montana Astronomical Society, MT, USA:21.991190832857995
South Bootlegger Campground, MT, USA:21.98098655708288
Shelby, MT, USA:20.271436233647677
Red Shale Campground, MT, USA:21.967523124263995
Red Lodge, MT, USA:21.22659179914387
Pompeys Pillar National Monument, MT, USA:21.651321279885714
Montana Learning Center, MT, USA:21.603554180346784
Missoula, MT, USA:19.058778827243355
Livingston, MT, USA:20.657265176130775
Little Rock Creek Observatory, MT, USA:21.964587683404922
Kalispell, MT, USA:19.523705141822376
Highland Meadows Observing Site, MT, USA:21.991190832857995
Helena, MT, USA:19.277778612634133
Hamilton, OH, USA:17.73349329448078
Halfmoon Campground, MT, USA:21.98020061766058
Great Falls, MT, USA:18.640977596085527
Founder's Hut, MT, USA:21.991190832857995
Finley Point Campground, MT, USA:21.633435499042818
Far Horizons Observatory, MT, USA:21.991190832857995
Eye In The Sky YOGO Observatory, MT, USA:21.991190832857995
Duck Lake, MT, USA:21.848166013742784
Cooney Reservoir State Park, MT, USA:21.898128746383748
Cooke City, MT, USA:21.98170836440143
Butte, MT, USA:19.57688065369459
Buffalo Camp, MT, USA:21.999891658900516
Big Sky Observatory, MT, USA:21.68300970081289
Apgar Village, MT, USA:21.81649280247515
Worlds Without End Observatory, MO, USA:20.519843073748635
Whiteside, MO, USA:21.320880083698864
Waverly, MO, USA:20.981901122180933
Waterfall Creek Observatory, MO, USA:20.519843073748635
WHS Observatory, MO, USA:20.519843073748635
Van Meter State Park, MO, USA:21.700186011443662
University of Missouri, MO, USA:17.591140339562674
Tucker Creek Observatory, MO, USA:21.536627952758085
Truman State University Observatory, MO, USA:20.519843073748635
The Backyard Country Observatory, MO, USA:20.519843073748635
Taum Sauk Mountain State Park, MO, USA:21.70714904300403
Stoutsville, MO, USA:21.706351850011878
St. Louis, MO, USA:16.457581838219777
Smithville Reservoir, MO, USA:20.2183869615361
Show-Me-Stars Observatory, MO, USA:20.519843073748635
Shepherd's Rest, MO, USA:20.519843073748635
Sedalia, MO, USA:18.787623947763567
Savala Observatory, MO, USA:20.519843073748635
Rusty's Backyard, MO, USA:20.519843073748635
Rosebud, MO, USA:21.06672798685832
Riverfront Park, MO, USA:20.519843073748635
River Moss Observatory, MO, USA:20.519843073748635
Red Oak observing site, MO, USA:21.492763847999704
Raymore-Peculiar High School, MO, USA:19.73717467557504
Rattle Snake Observatory, MO, USA:20.519843073748635
Powersville, MO, USA:21.89120096312334
Powders Mill, MO, USA:18.59458366409009
Poplar Bluff, MO, USA:18.709889807816204
Pleiades Observatory, MO, USA:20.519843073748635
Petroglyph, MO, USA:20.519843073748635
Palmer Lake, MO, USA:21.6792011273592
Osceola (MO), MO, USA:20.840641496284363
Onondaga Cave State Park, MO, USA:21.50680578755866
Notre Dame Regional High School Observatory, MO, USA:20.519843073748635
Murphy, NC, USA:20.110915659226166
Morrison Observatory, MO, USA:20.18095681053078
Monswath observatory, MO, USA:20.519843073748635
Missouri Western State University, MO, USA:18.523001559284598
Missouri S&T Observatory, MO, USA:20.519843073748635
Marshfield, MO, USA:19.672417137529756
Maramec Spring Park, MO, USA:21.427812253695937
Maintz Conservation Area, MO, USA:20.519843073748635
Lozwott Observatory, MO, USA:20.519843073748635
Loggers Lake Campground, MO, USA:21.89134746767021
Loeber/Elswick Observatory, MO, USA:21.849177367928732
Lees Summit, MO, USA:18.350151717110556
Lake Stars Observatory, MO, USA:20.519843073748635
Kennett, MO, USA:18.798038915926877
Kearn Memorial Wildlife Area, MO, USA:20.519843073748635
Journey's End Observatory, MO, USA:20.519843073748635
Joseph P. Strogen Observatory, MO, USA:20.519843073748635
Joplin, MO, USA:18.354721805358718
Jefferson College Observatory, MO, USA:20.159422964293505
Jefferson City, TN, USA:19.41370520445191
Indian Foothills Park, MO, USA:20.067625109110097
ICStars Ranch, MO, USA:20.519843073748635
Hillsman's Observatory, MO, USA:20.519843073748635
Hawn State Park, MO, USA:21.371967140935475
Hannibal, MO, USA:19.26343855378193
Greenville Recreation Area, MO, USA:21.699456079819157
Goat Ranch Observatory, MO, USA:20.519843073748635
Gittins Observatory, MO, USA:20.519843073748635
Fulton, MO, USA:18.849207997893064
Fruitland, MO, USA:20.215470132050807
FoxStar Observatory, MO, USA:20.519843073748635
FoxStar II Observatory, MO, USA:20.519843073748635
Fayette, MO, USA:19.91138574824045
Farmington, NM, USA:19.45698227228921
Echo Bluff State Park, MO, USA:21.92090238730446
Duck Creek Conservation Area, MO, USA:21.734715877305927
Dawn's Light Observatory, MO, USA:21.57098364999954
Danville Conservation Area, MO, USA:21.40982248578695
Cuivre River State Park, MO, USA:20.650567957438206
Council Bluffs Recreational Area, MO, USA:20.519843073748635
CoolHaven Observatory, MO, USA:20.519843073748635
Columbia, TN, USA:18.442716701661574
Colter/Menke Observatory, MO, USA:20.519843073748635
Chillicothe, MO, USA:19.114576789853597
Charles Douglas Observatory, MO, USA:20.519843073748635
Cedar Hill Park, MO, USA:20.519843073748635
Catawissa, MO, USA:20.222951616700218
Carthage, MO, USA:19.00772977058659
Caney Observatory, MO, USA:20.519843073748635
Cameron, TX, USA:19.764966323694164
Bush Observatory, MO, USA:20.519843073748635
Burris Fork Creek Observatory, MO, USA:21.297435253313743
Bunch Hollow Conservation Area, MO, USA:21.77248348877486
Brownington State Wildlife Area, MO, USA:21.465561532980015
Broemmelsiek Park Astronomy Area, MO, USA:19.573921477030453
Branson Observatory, MO, USA:18.81873780257509
Boonville, MO, USA:19.350931741713786
Bonebrake Center of Nature and History, MO, USA:20.21268552999251
Bonanza Conservation Area, MO, USA:21.60341425215601
Big Blue Observatory, MO, USA:20.519843073748635
Bert and Jeanette Lynch Memorial Observatory, MO, USA:20.519843073748635
Benton, TN, USA:20.414322861362265
Bearcat Observatory, MO, USA:20.519843073748635
Baltimore Bend, MO, USA:21.53518489196329
Ballard, MO, USA:21.565234491416145
Baker Observatory, MO, USA:20.878721080681586
Aurora(MO), MO, USA:19.61959466370594
Arrow Heights Astroimaging Observatory, MO, USA:20.519843073748635
Albert L. Ruppel Observatory, MO, USA:20.519843073748635
ASKC Dark Site, MO, USA:20.519843073748635
Windy Hill Observatory, TN, USA:19.47759059407225
Waltman Observatory, MS, USA:20.587628457428657
Vicksburg, MS, USA:18.278461422330576
Tupelo, MS, USA:17.675541649115065
The Cowpasture, MS, USA:20.587628457428657
T.O.M.S. Observatory, MS, USA:20.587628457428657
Steve's Observatory, MS, USA:20.587628457428657
Stark Bayou Observatory, MS, USA:19.110845707950148
Star Lake Observatory, MS, USA:20.587628457428657
Star, MS, USA:20.37856948142536
Rainwater Observatory, MS, USA:21.47432530165223
Pushapatapa Creek Observatory, MS, USA:20.587628457428657
Penantly Creek Observatory, MS, USA:21.4502898086879
Oxford, OH, USA:18.900948255698015
Nick's Observatory, MS, USA:20.587628457428657
N5PA Observatory, MS, USA:20.587628457428657
Jeff Busby Campground, MS, USA:21.432476266347006
Jackson (MS), MS, USA:17.269673774212446
Hwy 29 and Benndale Road, MS, USA:21.633876724401322
Howell Observatory, MS, USA:19.848020114610126
Highpointe Observatory, MS, USA:21.143803695621845
Hazeldale Observatory, MS, USA:21.346735728427266
Hayfield Observatory, MS, USA:20.587628457428657
Hattiesburg, MS, USA:18.31249330201731
Gulfport, MS, USA:17.591053278121876
Grand Coteau Observatory, MS, USA:20.587628457428657
First Colony Observatory, MS, USA:20.587628457428657
Fennell Auxiliary Observatory, MS, USA:20.587628457428657
East Central Community College, MS, USA:19.70492172084853
Delta State University, MS, USA:18.937186770938254
Daybis Observatory, MS, USA:20.587628457428657
Carlton Astronomy Campus, MS, USA:20.587628457428657
Cabin-1800's Site, MS, USA:20.587628457428657
BarCla Hill Private Observatory, MS, USA:20.587628457428657
BarC Observatory, MS, USA:20.587628457428657
3 Angels Observatory, MS, USA:20.587628457428657
Waseca, MN, USA:19.049911845627705
Warman Observatory, MN, USA:21.65437331718886
Voyageurs National Park, MN, USA:21.96231018536319
Villard, MN, USA:20.93645056012255
Tusaire Observatory, MN, USA:21.85047774997729
Three Pines Observatory, MN, USA:21.85047774997729
Sulem Lake, MN, USA:21.35445101285277
Stearns Scout Camp, MN, USA:20.720669762296804
StarHome Observatory, MN, USA:21.85047774997729
Standeford and Andreas Observatories, MN, USA:21.85047774997729
Stacy's Stellar Observatory, MN, USA:21.85047774997729
Sibley State Park, MN, USA:21.185988282619185
Saint John's University Observatory, MN, USA:21.85047774997729
SMSU Planetarium, MN, USA:18.825470388610015
SCSU Observatory, MN, USA:21.85047774997729
Rush Lake, MN, USA:21.42016919607227
Rockridge Observatory, MN, USA:21.85047774997729
Richville, MN, USA:21.350942546501475
Red Top, MN, USA:21.669694016586284
Ramsey Observatory, OH, USA:20.54194045832632
Prairie Grass Stargaze, MN, USA:21.85047774997729
Pilot's Cross Observatory, MN, USA:21.85047774997729
Pelican Lake Observatory, MN, USA:21.552205357760805
Paul P. Feder Observatory, MN, USA:20.989592550386618
Owatonna, MN, USA:18.44240742714278
Oscarness Observatory, MN, USA:21.85047774997729
Old Mill State Park, MN, USA:21.817890671271652
Nylund Forest Observatory, MN, USA:21.85047774997729
Northfield, MN, USA:19.0019266171982
Nininger Bluffs Observatory, MN, USA:19.36261976642968
New Ulm, MN, USA:18.43016560583073
Minneapolis, MN, USA:16.722055041974535
Metcalf Nature Center, MN, USA:21.85047774997729
Mantrap Lake, MN, USA:21.777610086002998
Magnuson Observing Site, MN, USA:21.85047774997729
MAS Eagle Lake Observatory, MN, USA:20.512794439383548
Long Lake Conservation Center, MN, USA:21.81254123394778
Litchfield High School, MN, USA:19.311672025534783
